java -classpath ..\..\emma-2.0.5312\out\emma.jar emmarun -f -r arff -sp mozilla\js\rhino\src -Dreport.out.file mozilla\js\tests\ecma\String\15.5.4.5-4.interpreted.arff -classpath mozilla\js\rhino\build\classes org.mozilla.javascript.tools.shell.Main -opt -1 -f mozilla\js\tests\shell.js -f mozilla\js\tests\ecma\shell.js -f mozilla\js\tests\ecma\String\shell.js -f mozilla\js\tests\ecma\String\15.5.4.5-4.js  
EMMA: processing classpath ...
EMMA: [128 class(es) processed in 343 ms]
15.5.4.5-4 String.prototype.charCodeAt(pos)
(String.fromCharCode(222)).charCodeAt(0) = 222 PASSED!
(String.fromCharCode(223)).charCodeAt(0) = 223 PASSED!
(String.fromCharCode(224)).charCodeAt(0) = 224 PASSED!
(String.fromCharCode(225)).charCodeAt(0) = 225 PASSED!
(String.fromCharCode(226)).charCodeAt(0) = 226 PASSED!
(String.fromCharCode(227)).charCodeAt(0) = 227 PASSED!
(String.fromCharCode(228)).charCodeAt(0) = 228 PASSED!
(String.fromCharCode(229)).charCodeAt(0) = 229 PASSED!
(String.fromCharCode(230)).charCodeAt(0) = 230 PASSED!
(String.fromCharCode(231)).charCodeAt(0) = 231 PASSED!
(String.fromCharCode(232)).charCodeAt(0) = 232 PASSED!
(String.fromCharCode(233)).charCodeAt(0) = 233 PASSED!
(String.fromCharCode(234)).charCodeAt(0) = 234 PASSED!
(String.fromCharCode(235)).charCodeAt(0) = 235 PASSED!
(String.fromCharCode(236)).charCodeAt(0) = 236 PASSED!
(String.fromCharCode(237)).charCodeAt(0) = 237 PASSED!
(String.fromCharCode(238)).charCodeAt(0) = 238 PASSED!
(String.fromCharCode(239)).charCodeAt(0) = 239 PASSED!
(String.fromCharCode(240)).charCodeAt(0) = 240 PASSED!
(String.fromCharCode(241)).charCodeAt(0) = 241 PASSED!
(String.fromCharCode(242)).charCodeAt(0) = 242 PASSED!
(String.fromCharCode(243)).charCodeAt(0) = 243 PASSED!
(String.fromCharCode(244)).charCodeAt(0) = 244 PASSED!
(String.fromCharCode(245)).charCodeAt(0) = 245 PASSED!
(String.fromCharCode(246)).charCodeAt(0) = 246 PASSED!
(String.fromCharCode(247)).charCodeAt(0) = 247 PASSED!
(String.fromCharCode(248)).charCodeAt(0) = 248 PASSED!
(String.fromCharCode(249)).charCodeAt(0) = 249 PASSED!
(String.fromCharCode(250)).charCodeAt(0) = 250 PASSED!
(String.fromCharCode(251)).charCodeAt(0) = 251 PASSED!
(String.fromCharCode(252)).charCodeAt(0) = 252 PASSED!
(String.fromCharCode(253)).charCodeAt(0) = 253 PASSED!
(String.fromCharCode(254)).charCodeAt(0) = 254 PASSED!
(String.fromCharCode(255)).charCodeAt(0) = 255 PASSED!
(String.fromCharCode(256)).charCodeAt(0) = 256 PASSED!
(String.fromCharCode(1255)).charCodeAt(0) = 1255 PASSED!
(String.fromCharCode(2254)).charCodeAt(0) = 2254 PASSED!
(String.fromCharCode(3253)).charCodeAt(0) = 3253 PASSED!
(String.fromCharCode(4252)).charCodeAt(0) = 4252 PASSED!
(String.fromCharCode(5251)).charCodeAt(0) = 5251 PASSED!
(String.fromCharCode(6250)).charCodeAt(0) = 6250 PASSED!
(String.fromCharCode(7249)).charCodeAt(0) = 7249 PASSED!
(String.fromCharCode(8248)).charCodeAt(0) = 8248 PASSED!
(String.fromCharCode(9247)).charCodeAt(0) = 9247 PASSED!
(String.fromCharCode(10246)).charCodeAt(0) = 10246 PASSED!
(String.fromCharCode(11245)).charCodeAt(0) = 11245 PASSED!
(String.fromCharCode(12244)).charCodeAt(0) = 12244 PASSED!
(String.fromCharCode(13243)).charCodeAt(0) = 13243 PASSED!
(String.fromCharCode(14242)).charCodeAt(0) = 14242 PASSED!
(String.fromCharCode(15241)).charCodeAt(0) = 15241 PASSED!
(String.fromCharCode(16240)).charCodeAt(0) = 16240 PASSED!
(String.fromCharCode(17239)).charCodeAt(0) = 17239 PASSED!
(String.fromCharCode(18238)).charCodeAt(0) = 18238 PASSED!
(String.fromCharCode(19237)).charCodeAt(0) = 19237 PASSED!
(String.fromCharCode(20236)).charCodeAt(0) = 20236 PASSED!
(String.fromCharCode(21235)).charCodeAt(0) = 21235 PASSED!
(String.fromCharCode(22234)).charCodeAt(0) = 22234 PASSED!
(String.fromCharCode(23233)).charCodeAt(0) = 23233 PASSED!
(String.fromCharCode(24232)).charCodeAt(0) = 24232 PASSED!
(String.fromCharCode(25231)).charCodeAt(0) = 25231 PASSED!
(String.fromCharCode(26230)).charCodeAt(0) = 26230 PASSED!
(String.fromCharCode(27229)).charCodeAt(0) = 27229 PASSED!
(String.fromCharCode(28228)).charCodeAt(0) = 28228 PASSED!
(String.fromCharCode(29227)).charCodeAt(0) = 29227 PASSED!
(String.fromCharCode(30226)).charCodeAt(0) = 30226 PASSED!
(String.fromCharCode(31225)).charCodeAt(0) = 31225 PASSED!
